name,full_taxa_name
ALMEJAS,bivalves
ALMEJAS CONGELADO,bivalves
"ALMEJAS,BERB.FRESC",bivalves
ATUN,"tuna, etc"
ATUN Y BONITO,"tuna, etc"
BACALAO CONGELADO,"cod, etc"
BACALAO FRESCO,"cod, etc"
BERBEREC.CONGELADO,bivalves
BERBERECHOS,bivalves
CABALLA FRESCA,"jack, etc"
CALAMAR Y PULPO FR,"squid, etc"
CALAMARES,"squid, etc"
CALAMARES CONGELAD,"squid, etc"
CHICHARRO/CABALLA,"jack, etc"
GAMBAS/LANG.COCIDO,shrimp
GAMBAS/LANG.CONG.,shrimp
GAMBAS/LANG.FRESCO,shrimp
LENGUADO CONGELADO,"flounder, etc"
LENGUADO FRESCO,"flounder, etc"
MARISCO/MOLUSC COCI,
MARISCO/MOLUSC CONG,
MARISCO/MOLUSC FRES,
MEJILLON CONGELADO,bivalves
MEJILLON FRESCO,bivalves
MEJILLON CONSERVA,bivalves
MERLUZA/PESCAD.CON,"cod, etc"
MERLUZA/PESCAD.FRE,"cod, etc"
OTRAS CONS.PESCADO,
OTROS MARISC.COCI.,
OTROS MARISC.CONG.,
OTROS MARISC.FRES.,
OTROS PESCADOS CON,
OTROS PESCADOS FRE,
PULPO,
PULPO CONGELADO,
SALMON CONGELADO,salmon
SALMON FRESCO,salmon
SARDINAS,"herring, etc"
TRUCHA FRESCA,trout
ANCHOAS,"herring, etc"
DORADA,misc marine
LUBINA,misc marine
OTROS AHUMADOS,
RODABALLO,misc marine
SALMON AHUMADO,salmon
TRUCHA AHUMADA,trout
RAPE,"cod, etc"
PESCADO SALADO,
BOQUERONES FRESCOS,"herring, etc"
SARDINAS FRESCAS,"herring, etc"
BACALADILLA,"cod, etc"
PEZ ESPADA/EMPERADOR,"tuna, etc"
