date,comunidad,var,name,value
1999-01-01,Total España,CONSUMO X CAPITA,ALMEJAS,0.003341755467611009
1999-01-01,Total España,CONSUMO X CAPITA,ALMEJAS CONGELADO,0.001253847502959193
1999-01-01,Total España,CONSUMO X CAPITA,"ALMEJAS,BERB.FRESC",0.07473738111232538
1999-01-01,Total España,CONSUMO X CAPITA,"ALMEJAS,BERBERECHO",0.076075436642667
1999-01-01,Total España,CONSUMO X CAPITA,ATUN,0.1265568959627872
1999-01-01,Total España,CONSUMO X CAPITA,ATUN Y BONITO,0.008012544176915522
1999-01-01,Total España,CONSUMO X CAPITA,BACALAO,0.043011505557737285
1999-01-01,Total España,CONSUMO X CAPITA,BACALAO CONGELADO,0.0037287114029635965
1999-01-01,Total España,CONSUMO X CAPITA,BACALAO FRESCO,0.03928279415477369
1999-01-01,Total España,CONSUMO X CAPITA,BERBEREC.CONGELADO,8.395740825331394e-5
1999-01-01,Total España,CONSUMO X CAPITA,BERBERECHOS,0.010355081176747537
1999-01-01,Total España,CONSUMO X CAPITA,CABALLA FRESCA,0.009495457563885248
1999-01-01,Total España,CONSUMO X CAPITA,CALAMAR Y PULPO FR,0.14256268664367644
1999-01-01,Total España,CONSUMO X CAPITA,CALAMARES,0.0064291325191709325
1999-01-01,Total España,CONSUMO X CAPITA,CALAMARES CONGELAD,0.02027558878361076
1999-01-01,Total España,CONSUMO X CAPITA,"CALAMARES,PULPO",0.16871203595634068
1999-01-01,Total España,CONSUMO X CAPITA,CHICHARRO/CABALLA,0.005315882347644901
1999-01-01,Total España,CONSUMO X CAPITA,CONS.PESCADO/MOLUSCO,0.24240283158548448
1999-01-01,Total España,CONSUMO X CAPITA,GAMBAS/LANG.COCIDO,0.015082259190102783
1999-01-01,Total España,CONSUMO X CAPITA,GAMBAS/LANG.CONG.,0.06858869139863344
1999-01-01,Total España,CONSUMO X CAPITA,GAMBAS/LANG.FRESCO,0.041247898746159466
1999-01-01,Total España,CONSUMO X CAPITA,GAMBAS/LANGOSTINOS,0.12491884933489567
1999-01-01,Total España,CONSUMO X CAPITA,LENGUADO,0.10511868503921487
1999-01-01,Total España,CONSUMO X CAPITA,LENGUADO CONGELADO,0.02386194852123739
1999-01-01,Total España,CONSUMO X CAPITA,LENGUADO FRESCO,0.08125648589884837
1999-01-01,Total España,CONSUMO X CAPITA,MARISCO/MOLUSC COCI,0.0256288133814937
1999-01-01,Total España,CONSUMO X CAPITA,MARISCO/MOLUSC CONG,0.1277077390036804
1999-01-01,Total España,CONSUMO X CAPITA,MARISCO/MOLUSC FRES,0.4073114716383855
1999-01-01,Total España,CONSUMO X CAPITA,MARISCO/MOLUSCO/CRUS,0.5606477734044304
1999-01-01,Total España,CONSUMO X CAPITA,MEJILLON,0.13068108435149328
1999-01-01,Total España,CONSUMO X CAPITA,MEJILLON CONGELADO,0.002544536017898198
1999-01-01,Total España,CONSUMO X CAPITA,MEJILLON FRESCO,0.1281367989527242
1999-01-01,Total España,CONSUMO X CAPITA,MEJILLONES,0.017565644140497074
1999-01-01,Total España,CONSUMO X CAPITA,MERLUZA/PESCAD,0.37668806963277146
1999-01-01,Total España,CONSUMO X CAPITA,MERLUZA/PESCAD.CON,0.15205914668407813
1999-01-01,Total España,CONSUMO X CAPITA,MERLUZA/PESCAD.FRE,0.22462892294869333
1999-01-01,Total España,CONSUMO X CAPITA,OTRAS CONS.PESCADO,0.04911257763689751
1999-01-01,Total España,CONSUMO X CAPITA,OTROS MARISC.COCI.,0.003288624212238763
1999-01-01,Total España,CONSUMO X CAPITA,OTROS MARISC.CONG.,0.029087357363272004
1999-01-01,Total España,CONSUMO X CAPITA,OTROS MARISC.FRES.,0.027884636162652146
1999-01-01,Total España,CONSUMO X CAPITA,OTROS MARISC/MOLUSC,0.0602603671190338
1999-01-01,Total España,CONSUMO X CAPITA,OTROS PESCADOS,0.3603985780977248
1999-01-01,Total España,CONSUMO X CAPITA,OTROS PESCADOS CON,0.07869941892449446
1999-01-01,Total España,CONSUMO X CAPITA,OTROS PESCADOS FRE,0.28169915917323035
1999-01-01,Total España,CONSUMO X CAPITA,PESCADOS,1.2131722689230597
1999-01-01,Total España,CONSUMO X CAPITA,PESCADOS CONGELADOS,0.2607644420800488
1999-01-01,Total España,CONSUMO X CAPITA,PESCADOS FRESCOS,0.952407826843011
1999-01-01,Total España,CONSUMO X CAPITA,PULPO,0.0015846647533901614
1999-01-01,Total España,CONSUMO X CAPITA,PULPO CONGELADO,0.005873760529053489
1999-01-01,Total España,CONSUMO X CAPITA,SALMON,0.06065910215345476
1999-01-01,Total España,CONSUMO X CAPITA,SALMON CONGELADO,0.002414965928146069
1999-01-01,Total España,CONSUMO X CAPITA,SALMON FRESCO,0.05824413622530869
1999-01-01,Total España,CONSUMO X CAPITA,SARDINA/BOQUERON,0.20141783230576596
1999-01-01,Total España,CONSUMO X CAPITA,SARDINAS,0.022140946961609016
1999-01-01,Total España,CONSUMO X CAPITA,TOTAL CARNE,4.583462979955902
1999-01-01,Total España,CONSUMO X CAPITA,TOTAL PESCA,2.016222873912975
1999-01-01,Total España,CONSUMO X CAPITA,TRUCHA FRESCA,0.04837049439558986
1999-02-01,Total España,CONSUMO X CAPITA,ALMEJAS,0.002039037234474514
1999-02-01,Total España,CONSUMO X CAPITA,ALMEJAS CONGELADO,9.726528400928698e-4
1999-02-01,Total España,CONSUMO X CAPITA,"ALMEJAS,BERB.FRESC",0.053388891836976
1999-02-01,Total España,CONSUMO X CAPITA,"ALMEJAS,BERBERECHO",0.05443823413057787
1999-02-01,Total España,CONSUMO X CAPITA,ATUN,0.11508455470844779
1999-02-01,Total España,CONSUMO X CAPITA,ATUN Y BONITO,0.008733826030506679
1999-02-01,Total España,CONSUMO X CAPITA,BACALAO,0.044218988521810325
1999-02-01,Total España,CONSUMO X CAPITA,BACALAO CONGELADO,0.0035059109971809213
1999-02-01,Total España,CONSUMO X CAPITA,BACALAO FRESCO,0.040713077524629396
1999-02-01,Total España,CONSUMO X CAPITA,BERBEREC.CONGELADO,7.668945350899721e-5
1999-02-01,Total España,CONSUMO X CAPITA,BERBERECHOS,0.01015333277781047
1999-02-01,Total España,CONSUMO X CAPITA,CABALLA FRESCA,0.012067561685986028
1999-02-01,Total España,CONSUMO X CAPITA,CALAMAR Y PULPO FR,0.12651754875951624
1999-02-01,Total España,CONSUMO X CAPITA,CALAMARES,0.005843686233559764
1999-02-01,Total España,CONSUMO X CAPITA,CALAMARES CONGELAD,0.01716164610436471
1999-02-01,Total España,CONSUMO X CAPITA,"CALAMARES,PULPO",0.14761191023794365
1999-02-01,Total España,CONSUMO X CAPITA,CHICHARRO/CABALLA,0.005589809055766908
1999-02-01,Total España,CONSUMO X CAPITA,CONS.PESCADO/MOLUSCO,0.21877997371342217
1999-02-01,Total España,CONSUMO X CAPITA,GAMBAS/LANG.COCIDO,0.005129171096454696
1999-02-01,Total España,CONSUMO X CAPITA,GAMBAS/LANG.CONG.,0.03385739124770581
1999-02-01,Total España,CONSUMO X CAPITA,GAMBAS/LANG.FRESCO,0.03469596285372249
1999-02-01,Total España,CONSUMO X CAPITA,GAMBAS/LANGOSTINOS,0.073682525197883
1999-02-01,Total España,CONSUMO X CAPITA,LENGUADO,0.10246738527231396
1999-02-01,Total España,CONSUMO X CAPITA,LENGUADO CONGELADO,0.02020290923616759
1999-02-01,Total España,CONSUMO X CAPITA,LENGUADO FRESCO,0.08226447603614637
1999-02-01,Total España,CONSUMO X CAPITA,MARISCO/MOLUSC COCI,0.01276854339011892
1999-02-01,Total España,CONSUMO X CAPITA,MARISCO/MOLUSC CONG,0.07461257278602643
1999-02-01,Total España,CONSUMO X CAPITA,MARISCO/MOLUSC FRES,0.34920116602802387
1999-02-01,Total España,CONSUMO X CAPITA,MARISCO/MOLUSCO/CRUS,0.43658228220416917
1999-02-01,Total España,CONSUMO X CAPITA,MEJILLON,0.11893606948467743
1999-02-01,Total España,CONSUMO X CAPITA,MEJILLON CONGELADO,0.0028996633238532604
1999-02-01,Total España,CONSUMO X CAPITA,MEJILLON FRESCO,0.11603615554169507
