date,Origin,catTL,value
1999-01-01,Farmed,Low,0.23801900177901586
1999-01-01,Farmed,High,0.10902959654904461
1999-01-01,Wild,Low,0.6430495887233315
1999-01-01,Wild,Medium,0.7048297102413148
1999-01-01,Wild,High,0.6805249177189323
1999-02-01,Farmed,Low,0.20094140534131957
1999-02-01,Farmed,High,0.08910587702271043
1999-02-01,Wild,Low,0.4990435865150854
1999-02-01,Wild,Medium,0.6232178464173822
1999-02-01,Wild,High,0.6012656156599964
1999-03-01,Farmed,Low,0.22244202042804134
1999-03-01,Farmed,High,0.1089874925353534
1999-03-01,Wild,Low,0.5684227306469456
1999-03-01,Wild,Medium,0.7473146650087829
1999-03-01,Wild,High,0.7125109359295412
1999-04-01,Farmed,Low,0.17432515259111522
1999-04-01,Farmed,High,0.07822148824527335
1999-04-01,Wild,Low,0.47193962893962443
1999-04-01,Wild,Medium,0.6101016942951817
1999-04-01,Wild,High,0.6240859910806345
1999-05-01,Farmed,Low,0.17576495948787726
1999-05-01,Farmed,High,0.10283579539211207
1999-05-01,Wild,Low,0.4982112803872965
1999-05-01,Wild,Medium,0.6551828126211454
1999-05-01,Wild,High,0.6760097634888078
1999-06-01,Farmed,Low,0.1639858604195019
1999-06-01,Farmed,High,0.08736908645794784
1999-06-01,Wild,Low,0.4644977445197024
1999-06-01,Wild,Medium,0.5815742200663512
1999-06-01,Wild,High,0.7052612763816498
1999-07-01,Farmed,Low,0.20352578980074693
1999-07-01,Farmed,High,0.08831642676600016
1999-07-01,Wild,Low,0.5560682100581236
1999-07-01,Wild,Medium,0.6385241591089132
1999-07-01,Wild,High,0.7578359066681332
1999-08-01,Farmed,Low,0.16773361887627816
1999-08-01,Farmed,High,0.06796164233758926
1999-08-01,Wild,Low,0.46941739802421745
1999-08-01,Wild,Medium,0.5155042509153172
1999-08-01,Wild,High,0.6493942625959909
1999-09-01,Farmed,Low,0.1981379797630462
1999-09-01,Farmed,High,0.08536463466329111
1999-09-01,Wild,Low,0.5563413849088582
1999-09-01,Wild,Medium,0.6441600820844372
1999-09-01,Wild,High,0.7359104921575625
1999-10-01,Farmed,Low,0.23278231507617114
1999-10-01,Farmed,High,0.1009353505360378
1999-10-01,Wild,Low,0.6271092096351412
1999-10-01,Wild,Medium,0.7101064960048179
1999-10-01,Wild,High,0.7405256434202037
1999-11-01,Farmed,Low,0.2000459431929939
1999-11-01,Farmed,High,0.09514955732130347
1999-11-01,Wild,Low,0.6002689033835086
1999-11-01,Wild,Medium,0.6848388247883779
1999-11-01,Wild,High,0.6664744574833934
1999-12-01,Farmed,Low,0.32501667068761625
1999-12-01,Farmed,High,0.12069316019889827
1999-12-01,Wild,Low,1.2011656076854487
1999-12-01,Wild,Medium,0.985584285916913
1999-12-01,Wild,High,0.6879307129842619
2000-01-01,Farmed,Low,0.20090213368167315
2000-01-01,Farmed,High,0.10121754103519442
2000-01-01,Wild,Low,0.6488708624890973
2000-01-01,Wild,Medium,0.7228885617173244
2000-01-01,Wild,High,0.563965381814345
2000-02-01,Farmed,Low,0.20504419746559566
2000-02-01,Farmed,High,0.09010484440807394
2000-02-01,Wild,Low,0.5329432231910125
2000-02-01,Wild,Medium,0.7019836142087642
2000-02-01,Wild,High,0.5964268982931874
2000-03-01,Farmed,Low,0.22360466487973785
2000-03-01,Farmed,High,0.0972693610879662
2000-03-01,Wild,Low,0.6202500333822096
2000-03-01,Wild,Medium,0.8086865038426732
2000-03-01,Wild,High,0.6650880910625776
2000-04-01,Farmed,Low,0.20086315831373333
2000-04-01,Farmed,High,0.08820200240005681
2000-04-01,Wild,Low,0.5997628918879342
2000-04-01,Wild,Medium,0.8023826725172225
2000-04-01,Wild,High,0.6625966465234439
2000-05-01,Farmed,Low,0.17093131698971084
2000-05-01,Farmed,High,0.092710732543515
2000-05-01,Wild,Low,0.5441711081666939
2000-05-01,Wild,Medium,0.6979490430001153
2000-05-01,Wild,High,0.6546824125749005
2000-06-01,Farmed,Low,0.1746930606227811
2000-06-01,Farmed,High,0.08743515582957218
2000-06-01,Wild,Low,0.5323863967560507
2000-06-01,Wild,Medium,0.6628856103978512
2000-06-01,Wild,High,0.7072011002469243
2000-07-01,Farmed,Low,0.18241465198838636
2000-07-01,Farmed,High,0.09074955160896375
2000-07-01,Wild,Low,0.5279690228890374
2000-07-01,Wild,Medium,0.6104170693775716
2000-07-01,Wild,High,0.7378645365347596
2000-08-01,Farmed,Low,0.17644993118908728
2000-08-01,Farmed,High,0.0673181562053494
2000-08-01,Wild,Low,0.5306310156942518
2000-08-01,Wild,Medium,0.5849331367629611
2000-08-01,Wild,High,0.6868117695486251
2000-09-01,Farmed,Low,0.19388011293297489
2000-09-01,Farmed,High,0.09349917692935485
2000-09-01,Wild,Low,0.5769615568908883
2000-09-01,Wild,Medium,0.6696223910334103
2000-09-01,Wild,High,0.7746034134569334
2000-10-01,Farmed,Low,0.21533468760471183
2000-10-01,Farmed,High,0.11887263795967735
2000-10-01,Wild,Low,0.6402364531112964
2000-10-01,Wild,Medium,0.6989187104343377
2000-10-01,Wild,High,0.7495978600399027
2000-11-01,Farmed,Low,0.18812863952896436
2000-11-01,Farmed,High,0.10271772032475052
2000-11-01,Wild,Low,0.6103160313218295
2000-11-01,Wild,Medium,0.7274772286026719
2000-11-01,Wild,High,0.6310971017055365
2000-12-01,Farmed,Low,0.3246514093981005
2000-12-01,Farmed,High,0.13853310445242673
2000-12-01,Wild,Low,1.228207186066051
2000-12-01,Wild,Medium,1.1024279639569876
2000-12-01,Wild,High,0.6454608901704902
2001-01-01,Farmed,Low,0.18336071130314402
2001-01-01,Farmed,High,0.12414355432082018
2001-01-01,Wild,Low,0.7079149247121301
2001-01-01,Wild,Medium,0.7681654317186791
2001-01-01,Wild,High,0.6553445082872542
2001-02-01,Farmed,Low,0.17187750725674503
2001-02-01,Farmed,High,0.10592220653529426
2001-02-01,Wild,Low,0.6389074988294785
2001-02-01,Wild,Medium,0.7732916679971152
2001-02-01,Wild,High,0.6714240571939771
2001-03-01,Farmed,Low,0.19724139610142105
2001-03-01,Farmed,High,0.11071568582529352
2001-03-01,Wild,Low,0.7223852835500499
2001-03-01,Wild,Medium,0.9185748019552837
2001-03-01,Wild,High,0.769261528791949
2001-04-01,Farmed,Low,0.18888986268784627
2001-04-01,Farmed,High,0.10380140568471483
2001-04-01,Wild,Low,0.7013509410894456
2001-04-01,Wild,Medium,0.8818235588871587
