date,source,catTL,value
1999-01-01,Farmed,High,0.10902959654904461
1999-01-01,Farmed,Low,0.1306813349706224
1999-01-01,Mixed,Low,0.7106806644296189
1999-01-01,Mixed,Medium,0.534430005069518
1999-01-01,Wild,High,0.7235364232766696
1999-01-01,Wild,Low,0.02214094696160901
1999-01-01,Wild,Medium,0.12738819961405953
1999-02-01,Farmed,High,0.08910587702271043
1999-02-01,Farmed,Low,0.11893581886554834
1999-02-01,Mixed,Low,0.5451264295001192
1999-02-01,Mixed,Medium,0.45296700900827935
1999-02-01,Wild,High,0.6454846041818068
1999-02-01,Wild,Low,0.02054776115782896
1999-02-01,Wild,Medium,0.12603184888729257
1999-03-01,Farmed,High,0.1089874925353534
1999-03-01,Farmed,Low,0.12174826673246979
1999-03-01,Mixed,Low,0.6247373501972027
1999-03-01,Mixed,Medium,0.5327460951409986
1999-03-01,Wild,High,0.7663063319939407
1999-03-01,Wild,Low,0.02431957905100023
1999-03-01,Wild,Medium,0.1607731738033848
1999-04-01,Farmed,High,0.07822148824527335
1999-04-01,Farmed,Low,0.09102311336043538
1999-04-01,Mixed,Low,0.5099016602839654
1999-04-01,Mixed,Medium,0.43858698461795503
1999-04-01,Wild,High,0.6541199368945714
1999-04-01,Wild,Low,0.02463059739023116
1999-04-01,Wild,Medium,0.1414807638632897
1999-05-01,Farmed,High,0.10283579539211207
1999-05-01,Farmed,Low,0.08827632770534186
1999-05-01,Mixed,Low,0.5407120241598987
1999-05-01,Mixed,Medium,0.472790982121226
1999-05-01,Wild,High,0.7173072848225319
1999-05-01,Wild,Low,0.02504863009759393
1999-05-01,Wild,Medium,0.14109430916619534
1999-06-01,Farmed,High,0.08736908645794784
1999-06-01,Farmed,Low,0.08165471969501109
1999-06-01,Mixed,Low,0.5023798283618559
1999-06-01,Mixed,Medium,0.42575954573249425
1999-06-01,Wild,High,0.7345844663454184
1999-06-01,Wild,Low,0.02666863214818922
1999-06-01,Wild,Medium,0.12649148437008834
1999-07-01,Farmed,High,0.08831642676600016
1999-07-01,Farmed,Low,0.10789228694112361
1999-07-01,Mixed,Low,0.6050750264225349
1999-07-01,Mixed,Medium,0.46883220235773543
1999-07-01,Wild,High,0.7887252155697375
1999-07-01,Wild,Low,0.02610047858248694
1999-07-01,Wild,Medium,0.13880264784957352
1999-08-01,Farmed,High,0.06796164233758926
1999-08-01,Farmed,Low,0.09235515403167824
1999-08-01,Mixed,Low,0.5043687417705075
1999-08-01,Mixed,Medium,0.38253376081936413
1999-08-01,Wild,High,0.6719279297329221
1999-08-01,Wild,Low,0.0225785279610427
1999-08-01,Wild,Medium,0.11043682295902178
1999-09-01,Farmed,High,0.08536463466329111
1999-09-01,Farmed,Low,0.1048104235104042
1999-09-01,Mixed,Low,0.6067614425423453
1999-09-01,Mixed,Medium,0.4758793616493024
1999-09-01,Wild,High,0.7673100616060436
1999-09-01,Wild,Low,0.02559472917993414
