name,Taxa
ALMEJAS,Veneridae
ALMEJAS CONGELADO,Veneridae
"ALMEJAS,BERB.FRESC",Veneridae
"ALMEJAS,BERBERECHO",Veneridae
ATUN,Thunnus
ATUN Y BONITO,Scombridae
BACALAO,Gadus morhua
BACALAO CONGELADO,Gadus morhua
BACALAO FRESCO,Gadus morhua
BERBEREC.CONGELADO,Cerastoderma
BERBERECHOS,Cerastoderma
CABALLA FRESCA,Scomber
CALAMAR Y PULPO FR,Loligo
CALAMARES,Loligo
CALAMARES CONGELAD,Loligo
"CALAMARES,PULPO",Loligo
CHICHARRO/CABALLA,Trachurus picturatus
CONS.PESCADO/MOLUSCO,
GAMBAS/LANG.COCIDO,Penaeidae
GAMBAS/LANG.CONG.,Penaeidae
GAMBAS/LANG.FRESCO,Penaeidae
GAMBAS/LANGOSTINOS,Penaeidae
LENGUADO,Soleidae
LENGUADO CONGELADO,Soleidae
LENGUADO FRESCO,Soleidae
MARISCO/MOLUSC COCI,
MARISCO/MOLUSC CONG,
MARISCO/MOLUSC FRES,
MARISCO/MOLUSCO/CRUS,
MEJILLON,Mytilus galloprovincialis
MEJILLON CONGELADO,Mytilus galloprovincialis
MEJILLON FRESCO,Mytilus galloprovincialis
MEJILLONES,Mytilus galloprovincialis
MERLUZA/PESCAD,Merluccius
MERLUZA/PESCAD.CON,Merluccius
MERLUZA/PESCAD.FRE,Merluccius
OTRAS CONS.PESCADO,
OTROS MARISC.COCI.,
OTROS MARISC.CONG.,
OTROS MARISC.FRES.,
OTROS MARISC/MOLUSC,
OTROS PESCADOS,
OTROS PESCADOS CON,
OTROS PESCADOS FRE,
PESCADOS,
PESCADOS CONGELADOS,
PESCADOS FRESCOS,
PULPO,Octopus
PULPO CONGELADO,Octopus
SALMON,Salmo salar
SALMON CONGELADO,Salmo salar
SALMON FRESCO,Salmo salar
SARDINA/BOQUERON,Sardina pilchardus
SARDINAS,Sardina pilchardus
TOTAL CARNE,
TOTAL PESCA,Oncorhynchus mykiss
TRUCHA FRESCA,Oncorhynchus mykiss
ANCHOAS,Engraulis encrasicolus
DORADA,Sparus aurata
LUBINA,Dicentrarchus labrax
OTROS AHUMADOS,
RODABALLO,Scophthalmus maximus
SALMON AHUMADO,Salmo salar
TRUCHA AHUMADA,Oncorhynchus mykiss
RAPE,Lophius
PESCADO SALADO,
BOQUERONES FRESCOS,Engraulis encrasicolus
SARDINAS FRESCAS,Sardina pilchardus
BACALADILLA,Micromesistius poutassou
PEZ ESPADA/EMPERADOR,Xiphias gladius
