en_name_gen,mean_c,source
Mussel,0.10337420478677875,Farmed
Salmon,0.09011098120041046,Farmed
Seabream,0.052092995744189255,Farmed
Seabass,0.03542180057625594,Farmed
Trout,0.03307258882879376,Farmed
Turbot,0.006962937672164255,Farmed
Molluscs and crustaceans,0.602097586547431,Mixed
Other fish,0.39978286013102726,Mixed
Shrimps and prawns,0.17189161884993814,Mixed
Other molluscs and crustaceans,0.14251004184009458,Mixed
Clams and cockles,0.04521035473916515,Mixed
Clams,0.010985091743995024,Mixed
Cockles,0.007718447154662006,Mixed
Hake,0.31520450717617216,Wild
Tuna,0.1768049265750167,Wild
Squid and octopus,0.09095895092967522,Wild
Anchovies,0.08721300052365544,Wild
Flounder,0.07850311810211232,Wild
Sardines,0.0737183611448375,Wild
Tuna and skipjacks,0.04723086928130155,Wild
Squid,0.039606504146423485,Wild
Cod,0.024830621805662045,Wild
Mackerel,0.010608210839296665,Wild
Octopus,0.008678701502628445,Wild
Other,0.004048500253367437,Wild
