date,stressor,en_name_gen,median
1999-01-01,GHG,Mussel,0.18283968352881405
1999-01-01,GHG,Salmon,0.44457642214264487
1999-01-01,GHG,Trout,0.2616624714561279
1999-01-01,Nitrogen,Mussel,-0.01696594616450768
1999-01-01,Nitrogen,Salmon,0.006706258548896699
1999-01-01,Nitrogen,Trout,0.0047833117551052615
1999-01-01,Phosphorus,Mussel,-0.0031728222164303607
1999-01-01,Phosphorus,Salmon,0.0016147265653678562
1999-01-01,Phosphorus,Trout,0.001123141937376343
1999-02-01,GHG,Mussel,0.1664062238613175
1999-02-01,GHG,Salmon,0.3318623017050207
1999-02-01,GHG,Trout,0.2370775547840101
1999-02-01,Nitrogen,Mussel,-0.015441062798739786
1999-02-01,Nitrogen,Salmon,0.005006010861169216
1999-02-01,Nitrogen,Trout,0.004333888036596428
1999-02-01,Phosphorus,Mussel,-0.00288765192451379
1999-02-01,Phosphorus,Salmon,0.0012053425416143266
1999-02-01,Phosphorus,Trout,0.0010176153374489704
1999-03-01,GHG,Mussel,0.17034119344243487
1999-03-01,GHG,Salmon,0.4123330274786391
1999-03-01,GHG,Trout,0.28523329759826094
1999-03-01,Nitrogen,Mussel,-0.01580619404806013
1999-03-01,Nitrogen,Salmon,0.00621987976149092
1999-03-01,Nitrogen,Trout,0.005214197426771445
1999-03-01,Phosphorus,Mussel,-0.002955935563311378
1999-03-01,Phosphorus,Salmon,0.0014976167427850806
1999-03-01,Phosphorus,Trout,0.0012243157250865725
1999-04-01,GHG,Mussel,0.12735282543884857
1999-04-01,GHG,Salmon,0.2806593354492483
1999-04-01,GHG,Trout,0.21599043699873827
1999-04-01,Nitrogen,Mussel,-0.011817244148494417
1999-04-01,Nitrogen,Salmon,0.004233634475290013
1999-04-01,Nitrogen,Trout,0.003948405709603686
1999-04-01,Phosphorus,Mussel,-0.0022099571935316684
1999-04-01,Phosphorus,Salmon,0.0010193704888447317
1999-04-01,Phosphorus,Trout,9.271024481101401e-4
1999-05-01,GHG,Mussel,0.12350972558061951
1999-05-01,GHG,Salmon,0.37372140623948746
1999-05-01,GHG,Trout,0.2804543281889075
1999-05-01,Nitrogen,Mussel,-0.011460637617345691
1999-05-01,Nitrogen,Salmon,0.005637438808428548
1999-05-01,Nitrogen,Trout,0.005126835641851205
1999-05-01,Phosphorus,Mussel,-0.002143267772642204
1999-05-01,Phosphorus,Salmon,0.001357377163172882
1999-05-01,Phosphorus,Trout,0.0012038028065499014
1999-06-01,GHG,Mussel,0.11424526012858761
1999-06-01,GHG,Salmon,0.3387613668957466
1999-06-01,GHG,Trout,0.22259015985965527
1999-06-01,Nitrogen,Mussel,-0.010600975102794554
1999-06-01,Nitrogen,Salmon,0.005110080516261848
1999-06-01,Nitrogen,Trout,0.0040690517149914104
1999-06-01,Phosphorus,Mussel,-0.0019825012407698934
1999-06-01,Phosphorus,Salmon,0.0012304003343465186
1999-06-01,Phosphorus,Trout,9.554306431275906e-4
1999-07-01,GHG,Mussel,0.15095492867401253
1999-07-01,GHG,Salmon,0.36220275932493906
1999-07-01,GHG,Trout,0.2104129390838219
1999-07-01,Nitrogen,Mussel,-0.014007315828386815
1999-07-01,Nitrogen,Salmon,0.00546368459993922
1999-07-01,Nitrogen,Trout,0.003846446451969113
1999-07-01,Phosphorus,Mussel,-0.0026195251606913237
1999-07-01,Phosphorus,Salmon,0.0013155407898439205
1999-07-01,Phosphorus,Trout,9.031619809158524e-4
1999-08-01,GHG,Mussel,0.12921651848141127
1999-08-01,GHG,Salmon,0.2762436398372926
1999-08-01,GHG,Trout,0.16374850587248987
1999-08-01,Nitrogen,Mussel,-0.011990178793846194
1999-08-01,Nitrogen,Salmon,0.004167025462818582
1999-08-01,Nitrogen,Trout,0.0029933988953862282
1999-08-01,Phosphorus,Mussel,-0.002242297911782353
1999-08-01,Phosphorus,Salmon,0.001003332434071518
1999-08-01,Phosphorus,Trout,7.028627877152258e-4
1999-09-01,GHG,Mussel,0.1466430127108152
1999-09-01,GHG,Salmon,0.35020103090209453
1999-09-01,GHG,Trout,0.20330345948590717
1999-09-01,Nitrogen,Mussel,-0.013607207204889015
1999-09-01,Nitrogen,Salmon,0.005282643298987337
1999-09-01,Nitrogen,Trout,0.003716481856189896
1999-09-01,Phosphorus,Mussel,-0.002544700360629486
1999-09-01,Phosphorus,Salmon,0.0012719498373114004
1999-09-01,Phosphorus,Trout,8.726457412544902e-4
1999-10-01,GHG,Mussel,0.17256710565959166
1999-10-01,GHG,Salmon,0.44073564862991643
1999-10-01,GHG,Trout,0.2207111097599776
1999-10-01,Nitrogen,Mussel,-0.016012739509714522
1999-10-01,Nitrogen,Salmon,0.006648322007682989
1999-10-01,Nitrogen,Trout,0.004034701804665325
1999-10-01,Phosphorus,Mussel,-0.002994561881176918
1999-10-01,Phosphorus,Salmon,0.0016007766599889922
1999-10-01,Phosphorus,Trout,9.473651381370018e-4
1999-11-01,GHG,Mussel,0.14310988550538498
1999-11-01,GHG,Salmon,0.38350793960907975
1999-11-01,GHG,Trout,0.231651899301391
1999-11-01,Nitrogen,Mussel,-0.01327936346329645
1999-11-01,Nitrogen,Salmon,0.005785064772841102
1999-11-01,Nitrogen,Trout,0.0042347045292912364
1999-11-01,Phosphorus,Mussel,-0.002483389903979647
1999-11-01,Phosphorus,Salmon,0.001392922402703532
1999-11-01,Phosphorus,Trout,9.943266282337205e-4
1999-12-01,GHG,Mussel,0.24766324051705188
1999-12-01,GHG,Salmon,0.6218599884401187
1999-12-01,GHG,Trout,0.19390549751551336
1999-12-01,Nitrogen,Mussel,-0.022981013336077247
1999-12-01,Nitrogen,Salmon,0.00938051065235139
1999-12-01,Nitrogen,Trout,0.003544682737589298
1999-12-01,Phosphorus,Mussel,-0.004297707240243629
1999-12-01,Phosphorus,Salmon,0.00225863044745865
1999-12-01,Phosphorus,Trout,8.323065777662059e-4
2000-01-01,GHG,Mussel,0.1519329824885769
