name,totales
ALMEJAS,0
ALMEJAS CONGELADO,0
"ALMEJAS,BERB.FRESC",0
"ALMEJAS,BERBERECHO",1
ANCHOAS,0
ATUN,0
ATUN Y BONITO,0
BACALADILLA,0
BACALAO,1
BACALAO CONGELADO,0
BACALAO FRESCO,0
BERBEREC.CONGELADO,0
BERBERECHOS,0
BOQUERONES FRESCOS,0
CABALLA FRESCA,0
CALAMAR Y PULPO FR,0
CALAMARES,0
CALAMARES CONGELAD,0
"CALAMARES,PULPO",1
CHICHARRO/CABALLA,0
CONS.PESCADO/MOLUSCO,1
DORADA,0
GAMBAS/LANG.COCIDO,0
GAMBAS/LANG.CONG.,0
GAMBAS/LANG.FRESCO,0
GAMBAS/LANGOSTINOS,1
LENGUADO,1
LENGUADO CONGELADO,0
LENGUADO FRESCO,0
LUBINA,0
MARISCO/MOLUSC COCI,0
MARISCO/MOLUSC CONG,0
MARISCO/MOLUSC FRES,0
MARISCO/MOLUSCO/CRUS,1
MEJILLON,1
MEJILLON CONGELADO,0
MEJILLON FRESCO,0
MEJILLONES,0
MERLUZA/PESCAD,1
MERLUZA/PESCAD.CON,0
MERLUZA/PESCAD.FRE,0
OTRAS CONS.PESCADO,0
OTROS AHUMADOS,0
OTROS MARISC.COCI.,0
OTROS MARISC.CONG.,0
OTROS MARISC.FRES.,0
OTROS MARISC/MOLUSC,1
OTROS PESCADOS,1
OTROS PESCADOS CON,0
OTROS PESCADOS FRE,0
PESCADO SALADO,0
PESCADOS,1
PESCADOS CONGELADOS,1
PESCADOS FRESCOS,1
PEZ ESPADA/EMPERADOR,0
PULPO,0
PULPO CONGELADO,0
RAPE,0
RODABALLO,0
SALMON,1
SALMON AHUMADO,0
SALMON CONGELADO,0
SALMON FRESCO,0
SARDINA/BOQUERON,1
SARDINAS,0
SARDINAS FRESCAS,0
TOTAL PESCA,1
TRUCHA AHUMADA,0
TRUCHA FRESCA,0
TOTAL CARNE,1
